@relation chutar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data

-0.310831,0.184139,-0.932457,40.249283,32
0.886897,-0.021989,-0.461443,42.818195,28
0.065634,-0.022363,-0.997593,41.593571,32
0.674689,-0.019959,-0.737832,46.876648,34
0.00483,-0.01806,-0.999825,51.727436,21
0.374357,-0.036828,-0.926553,25.767443,36
0.050129,0.158792,-0.986039,46.291515,23
0.173729,0.158177,-0.972007,46.583549,24
-0.399839,-0.026406,-0.916205,35.780567,27
0.119881,-0.020278,-0.992581,41.158676,22
0.034641,0.168364,-0.985116,40.795284,32
0.652504,0.134612,-0.745733,48.776955,20
0.20277,-0.018734,-0.979047,49.8619,26
0.145319,-0.019529,-0.989192,44.388882,24
-0.239244,0.134541,-0.961593,43.045433,22
0.15413,-0.034568,-0.987446,27.655037,21
-0.134169,-0.020208,-0.990752,46.292824,25
-0.362869,-0.023983,-0.931531,39.389462,35
0.128336,0.274999,-0.952841,26.708805,27
-0.321105,0.262467,-0.909947,28.472357,33
0.239118,0.268889,-0.933017,27.092976,33
-0.28651,0.264703,-0.920785,28.13517,22
-0.317892,0.259975,-0.911788,28.473412,21
0.241661,-0.03438,-0.969751,26.367353,24
-0.249618,-0.033695,-0.967758,27.137444,38
0.268961,-0.032892,-0.962589,26.587265,37
-0.30486,-0.03192,-0.951862,27.865479,25
0.521819,0.16397,-0.837149,44.540989,35
-0.339385,-0.014703,-0.940533,62.74947,23
-0.506026,-0.013483,-0.862413,68.069275,22
-0.50331,0.105782,-0.857607,68.319565,27
0.598653,0.454507,-0.659574,16.940981,29
0.889466,0.259311,-0.376309,29.050041,30
0.896768,0.251084,-0.364369,29.948812,25
0.867826,-0.022674,-0.496351,41.589653,21
-0.085069,-0.076382,-0.993443,40.163452,31
0.402641,0.126664,-0.906552,53.003666,38
0.317365,-0.017343,-0.948145,51.308987,21
-0.881272,0.237467,-0.408618,31.606022,22
0.095512,-0.052883,-0.994022,46.846775,27
0.200463,0.14627,-0.968721,50.245541,30
-0.227854,-0.037517,-0.972972,48.816998,20
0.412255,-0.019366,-0.910863,48.337898,37
0.746144,0.227292,-0.625785,29.144445,33
0.278862,0.129875,-0.951509,44.705818,35
0.426315,-0.019401,-0.904367,48.263927,37
0.420994,0.159755,-0.892884,46.186485,25
0.184535,-0.02056,-0.982611,45.625694,36
-0.414989,0.133261,-0.900014,51.611267,22
0.335276,0.511454,-0.791204,11.929399,32
-0.84449,0.303892,-0.441006,22.321035,35
-0.136108,-0.037826,-0.989972,23.529715,27
0.358612,0.160166,-0.919644,45.188843,20
0.481584,0.132691,-0.866297,53.126003,20
0.289243,-0.019964,-0.957047,46.43211,33
0.436992,-0.039458,-0.8986,24.439867,26
0.258593,0.321237,-0.911008,23.625814,31
0.266282,-0.040734,-0.963034,23.573309,28
0.202258,0.209663,-0.956626,35.464874,22
0.13832,0.166162,-0.976349,44.427227,23
0.389749,0.154515,-0.907866,47.704384,32
0.394411,-0.019816,-0.91872,47.269939,21
-0.170217,0.264476,-0.949252,24.917587,23
-0.138739,-0.034954,-0.989712,23.965965,21
-0.545033,-0.029592,-0.837892,28.977791,33
-0.397924,-0.020211,-0.917196,46.392658,33
0.380214,-0.017191,-0.924739,54.234035,35
-0.06047,-0.019337,-0.997983,49.257809,20
-0.059913,0.138235,-0.988586,49.598831,35
0.117698,-0.019246,-0.992863,49.432846,38
0.175206,0.137349,-0.974904,49.959797,31
0.138007,-0.018268,-0.990263,49.068008,21
-0.142494,0.140743,-0.979738,49.140083,21
-0.145717,-0.019045,-0.989143,48.604195,32
0.196464,-0.018841,-0.98033,48.916035,27
0.138227,0.143522,-0.979946,48.425072,39
0.180331,-0.018814,-0.983426,48.255322,24
0.198202,0.144049,-0.969518,48.438286,36
-0.111857,0.146277,-0.982899,47.395809,35
-0.072627,-0.021184,-0.997134,46.762432,23
-0.136245,-0.022025,-0.99043,46.817913,25
0.182792,0.14632,-0.972203,47.326572,29
-0.07165,0.149505,-0.986162,46.304958,27
-0.095995,-0.024284,-0.995086,45.91243,39
0.144842,-0.025384,-0.989129,46.070797,20
0.166132,0.148253,-0.974895,46.128471,28
0.147869,0.151091,-0.977398,45.715687,39
-0.165277,-0.026216,-0.985899,45.268753,36
0.54023,0.14588,-0.828777,46.93568,23
0.545979,-0.01869,-0.83759,46.523361,27
0.531155,-0.018903,-0.847064,45.980553,34
0.515759,-0.019169,-0.856519,45.438847,20
0.287882,-0.021593,-0.957422,40.347713,38
0.306289,-0.02167,-0.951692,40.574966,38
0.282318,-0.022055,-0.959067,40.136642,24
0.276376,0.173436,-0.94527,40.450806,39
0.578024,-0.019051,-0.815797,47.379051,39
0.534829,-0.020339,-0.844715,45.546539,28
0.537127,-0.022372,-0.843205,45.451225,35
0.52485,-0.017432,-0.851016,53.383755,33
-0.328472,-0.019,-0.944323,48.7262,31
0.149184,0.195749,-0.96924,34.942955,22
0.388838,0.134393,-0.911452,54.611549,27
-0.139671,0.158237,-0.977473,45.246597,27
-0.227869,-0.019979,-0.973487,45.388607,33
-0.139626,0.158268,-0.977474,45.172962,27
-0.781362,-0.051301,-0.621966,19.193665,38
-0.240081,-0.079799,-0.967467,12.112831,32
-0.130066,0.54076,-0.83106,13.28708,36
-0.726108,0.376529,-0.57532,20.12466,25
0.719987,-0.024316,-0.693561,38.819286,33
0.433394,0.171333,-0.884768,43.166355,25
0.101177,0.160036,-0.981912,46.06543,35
0.068207,-0.033009,-0.997125,29.116434,32
0.564245,0.208971,-0.798723,34.791367,35
-0.155725,-0.018918,-0.987619,47.356205,33
0.137892,0.148646,-0.979229,48.022537,31
0.158321,0.148185,-0.976205,48.203735,39
-0.114213,0.149101,-0.982204,47.513,21
-0.116894,0.149106,-0.981888,47.517288,30
-0.071163,-0.022414,-0.997213,42.037437,28
-0.021403,-0.022466,-0.999518,41.931198,32
-0.343164,0.163989,-0.924849,45.018837,39
0.953478,-0.026223,-0.300319,36.21616,25
0.950707,-0.026973,-0.308915,35.256306,26
0.961376,0.156133,-0.226666,47.129986,30
0.778834,0.168273,-0.604237,43.458504,26
