@relation chutar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data
0.120262,0.147844,0.981672,38.174427,24
0.41555,-0.050503,0.908167,41.251785,38
0.434634,-0.050028,0.899217,41.655792,20
0.415519,-0.050629,0.908174,41.180431,35
0.484851,0.130684,0.864778,43.390438,26
0.143305,-0.055082,0.988145,37.540932,23
0.189363,0.147451,0.970773,38.270611,22
0.466304,0.132698,0.874615,42.619938,37
0.213629,-0.057003,0.97525,37.744785,32
0.434016,-0.053528,0.899314,40.990753,25
0.450367,0.133914,0.882744,41.685028,38
0.13632,0.149352,0.979342,37.118031,24
0.455059,-0.054861,0.88877,40.839111,27
0.106534,-0.0632,0.992298,36.046219,28
0.130891,-0.063362,0.98937,35.905155,33
0.435226,-0.057514,0.898482,39.698299,33
0.452884,0.136823,0.881008,40.31284,26
0.127676,-0.064212,0.989735,35.080288,24
0.123697,0.155259,0.980099,35.254974,26
0.201991,0.154873,0.967064,35.447529,29
0.441558,-0.058054,0.895353,38.235493,21
0.439832,0.143738,0.886503,38.392792,33
0.121029,0.159464,0.979757,33.981972,31
0.14689,0.160099,0.97611,33.897842,28
0.488024,0.141667,0.861257,38.181103,29
0.468559,0.143396,0.871716,37.653023,24
0.468677,0.143392,0.871654,37.653309,24
0.199665,0.159113,0.966859,33.515186,33
0.451113,-0.069447,0.889761,36.72007,33
0.468902,0.143122,0.871577,37.579983,22
0.49474,-0.073185,0.865954,37.618065,23
0.103266,0.159497,0.981782,32.731415,25
0.132119,-0.085987,0.987497,32.334084,27
0.066364,0.162581,0.984461,32.468296,26
0.451084,0.145486,0.880544,36.832222,22
