@relation chutar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data
-0.041373,-0.043104,-0.998214,23.408504,21
-0.030144,-0.029315,-0.999116,30.392036,35
-0.062877,-0.029271,-0.997592,30.484287,27
-0.388581,-0.027024,-0.921018,33.643295,39
-0.465251,-0.025961,-0.884798,35.060726,25
-0.470875,-0.025874,-0.881821,35.062611,34
-0.41854,0.204713,-0.884826,34.658287,32
-0.37299,0.208976,-0.903995,33.780968,28
-0.127102,0.222996,-0.966498,31.097485,28
-0.413354,0.20442,-0.887328,34.19706,24
-0.486702,0.196083,-0.851277,35.648609,32
-0.50242,-0.02523,-0.864256,35.18449,26
-0.499197,0.194451,-0.844388,35.675705,25
-0.494836,-0.025354,-0.868616,34.713921,21
-0.424796,0.203145,-0.882202,33.73349,23
-0.517039,0.192075,-0.834133,35.717785,24
-0.521329,0.19149,-0.831593,35.740063,29
0.912629,-0.040039,-0.406824,23.562927,30
0.834265,0.338098,-0.435535,21.876274,25
0.363847,0.571132,-0.735815,13.617815,37
0.579816,-0.079722,-0.810838,13.015309,22
-0.087184,0.138836,-0.98647,35.848835,25
-0.005678,-0.079382,-0.996828,35.238071,20
0.354378,-0.074219,-0.932152,38.179996,28
-0.005678,-0.079329,-0.996832,35.238129,22
0.257802,0.135669,-0.956625,37.344666,24
-0.064949,0.141713,-0.987775,35.797646,28
-0.039898,0.14216,-0.989039,35.774712,23
-0.012991,0.142326,-0.989735,35.779781,25
0.285864,0.136444,-0.948507,37.639858,30
0.336339,0.134128,-0.93214,38.308487,24
0.363904,-0.081477,-0.927866,38.176144,31
