@relation pasar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data

0.195758,0.008922,-0.980612,76.761337,21
0.195766,0.008921,-0.98061,76.777878,24
0.195933,0.000444,-0.980617,76.62529,16
0.195956,0.000038,-0.980613,76.615524,15
0.195974,-0.000263,-0.980609,76.590225,10
0.19603,-0.001259,-0.980597,76.558655,15
0.196058,-0.001921,-0.98059,76.519882,18
0.196105,-0.002834,-0.980579,76.471024,24
0.19618,-0.003636,-0.980561,76.409172,27
0.196283,-0.004721,-0.980536,76.30986,7
0.196452,-0.006422,-0.980492,76.226372,23
0.196515,-0.007313,-0.980474,76.146774,21
0.196514,-0.007733,-0.980471,76.065819,10
0.196513,-0.008727,-0.980462,75.985603,12
0.19651,-0.010038,-0.98045,75.897453,24
0.196508,-0.011042,-0.98044,75.823906,20
0.196507,-0.011725,-0.980432,75.731232,18
0.196503,-0.013033,-0.980416,75.109306,18
0.196473,-0.021869,-0.980265,75.008965,24
0.196467,-0.023244,-0.980235,74.916779,17
0.196461,-0.024582,-0.980204,74.833771,29
0.196456,-0.025469,-0.980182,74.743698,17
0.196456,-0.025453,-0.980182,74.663918,6
0.196457,-0.025437,-0.980183,74.560913,26
0.196457,-0.025413,-0.980183,74.472771,17
0.196457,-0.025392,-0.980184,74.344551,18
0.196457,-0.025362,-0.980184,74.242004,28
0.196457,-0.025338,-0.980185,74.157837,13
0.196457,-0.025318,-0.980186,74.071487,20
0.196457,-0.025298,-0.980186,73.986084,23
0.196457,-0.025278,-0.980187,73.893982,6
0.196457,-0.025256,-0.980187,73.806381,19
0.196458,-0.025235,-0.980188,73.725166,28
