@relation pasar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data
0.691908,0.008428,-0.721936,84.938217,29
0.691841,0.008427,-0.722001,84.930634,7
0.691787,0.008427,-0.722053,84.897072,21
0.691545,0.008426,-0.722284,84.893692,5
0.686328,0.00558,-0.727271,84.8899,7
0.686256,0.005588,-0.727339,84.889862,5
0.686195,0.005595,-0.727396,84.889801,18
0.503392,0.011355,-0.863983,60.879208,16
0.503392,0.011355,-0.863983,60.879719,28
0.503392,0.011355,-0.863983,60.88567,29
0.503392,0.011355,-0.863983,60.889103,24
0.503392,0.011359,-0.863983,60.889099,17
0.503392,0.011371,-0.863983,60.889095,5
0.503392,0.011383,-0.863983,60.889091,14
0.503392,0.011395,-0.863983,60.889164,8
0.503392,0.011406,-0.863983,60.889301,16
0.503392,0.01142,-0.863983,60.889454,11
0.503392,0.011434,-0.863983,60.889584,29
0.503392,0.011446,-0.863982,60.889759,26
0.503392,0.011461,-0.863982,60.889923,12
0.503392,0.011474,-0.863982,60.890087,17
0.503391,0.011487,-0.863982,60.890255,10
0.503391,0.011501,-0.863982,60.890434,28
0.503391,0.011516,-0.863982,60.890606,24
0.503391,0.01153,-0.863982,60.890778,19
0.503391,0.011546,-0.863981,60.890942,26
0.503391,0.011562,-0.863981,60.89109,16
0.503391,0.011577,-0.863981,60.891281,6
-0.98288,0.011472,-0.183887,59.434856,23
-0.982881,0.011473,-0.183887,59.435081,25
-0.98288,0.011474,-0.183887,59.407104,13
-0.982873,0.01072,-0.183973,59.373913,15
-0.982869,0.00955,-0.18406,59.343063,9
-0.982863,0.008461,-0.18414,59.301357,6
-0.982858,0.007768,-0.184202,59.269566,17
-0.982861,0.007323,-0.184203,59.239151,26
-0.982864,0.006897,-0.184203,59.191872,19
-0.98287,0.006267,-0.184192,59.125336,24
-0.982887,0.005008,-0.184143,59.063171,27
-0.982901,0.003829,-0.184097,58.982586,28
-0.982921,0.002617,-0.184008,58.887505,17
-0.982946,0.001213,-0.183892,58.796383,23
-0.982968,-0.000137,-0.183779,58.698341,28
-0.982991,-0.001322,-0.18365,58.599228,25
-0.983001,-0.002561,-0.183583,58.504517,8
-0.983009,-0.003749,-0.183518,58.402424,28
-0.983023,-0.004435,-0.183428,58.288303,12
-0.983021,-0.004943,-0.183428,58.19286,23
-0.983019,-0.005368,-0.183427,58.096306,13
-0.983012,-0.006547,-0.183426,57.981487,27
-0.983001,-0.008061,-0.183424,57.83688,16
-0.983025,-0.00988,-0.183207,57.71804,24
-0.983064,-0.011386,-0.18291,57.603935,21
-0.983099,-0.012838,-0.182622,57.486801,7
-0.983096,-0.014117,-0.182548,57.358425,23
-0.983075,-0.01553,-0.182543,57.201557,27
-0.983049,-0.017341,-0.182519,57.067432,18
-0.983026,-0.018957,-0.182484,56.941784,28
-0.983002,-0.020399,-0.182457,56.812012,10
-0.982977,-0.021633,-0.182452,56.684322,17
-0.98295,-0.022852,-0.182447,56.550533,5
-0.982922,-0.024069,-0.182442,56.401714,28
-0.982889,-0.025414,-0.182436,56.267239,15
-0.982879,-0.025842,-0.182434,56.132584,27
-0.982879,-0.025827,-0.182434,56.001057,17
-0.982894,-0.025824,-0.182355,55.861237,9
-0.982914,-0.025838,-0.182244,55.72002,23
-0.982933,-0.02585,-0.182138,55.538139,5
-0.982934,-0.025823,-0.182138,55.362335,16
0.618543,0.009758,-0.785691,70.669785,5
0.618532,0.009758,-0.785699,70.671631,5
0.618521,0.009758,-0.785708,70.711151,23
0.618288,0.009755,-0.785891,70.717026,7
0.61826,0.008588,-0.785927,70.717201,25
0.618267,0.007077,-0.785936,70.723564,16
0.618273,0.005543,-0.785944,70.732445,10
0.618278,0.003855,-0.78595,70.741821,22
0.61828,0.002908,-0.785953,70.750877,14
0.618281,0.002245,-0.785954,70.761749,16
0.618282,0.001178,-0.785956,70.772202,8
0.618282,0.000085,-0.785956,70.787827,22
0.618281,-0.001699,-0.785955,70.796768,21
0.618281,-0.001836,-0.785955,70.806129,22
0.618281,-0.001821,-0.785955,70.816353,15
0.618281,-0.001799,-0.785955,70.825638,7
0.618337,-0.001778,-0.785911,70.834793,10
0.618352,-0.001769,-0.7859,70.844673,16
0.6184,-0.001769,-0.785861,70.853996,21
0.618389,-0.00177,-0.78587,70.862671,20
0.618396,-0.001784,-0.785865,70.872337,5
0.618319,0.010136,-0.785861,70.844963,12
0.618319,0.010135,-0.785861,70.844566,22
0.618319,0.010135,-0.785861,70.835487,26
0.61832,0.01005,-0.785862,70.835526,21
0.183197,0.005584,-0.98306,125.344376,14
0.183206,0.005584,-0.983059,125.344376,24
0.183214,0.005584,-0.983057,125.344376,17
0.183253,0.005591,-0.98305,125.344376,6
0.221787,0.008531,-0.975058,82.054108,12
0.221779,0.008531,-0.97506,82.054092,22
0.221771,0.00853,-0.975061,82.058159,26
0.221546,0.008513,-0.975113,82.05426,7
0.181735,0.011038,-0.983286,64.587967,26
0.181731,0.011038,-0.983286,64.585747,6
0.181727,0.011039,-0.983287,64.527306,5
0.18161,0.011058,-0.983308,64.505692,29
0.181505,0.010785,-0.983331,64.501236,12
-0.256955,0.006866,-0.966399,100.119263,6
-0.256956,0.006866,-0.966399,100.122139,7
-0.256956,0.006866,-0.966399,100.196426,26
