@relation pasar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data
-0.255453,0.005771,0.966804,122.151863,21
-0.255453,0.005771,0.966804,122.152031,14
-0.255453,0.005771,0.966804,122.154259,22
-0.255459,0.005744,0.966803,122.156609,19
-0.255467,0.005047,0.966805,122.158585,25
0.212436,0.006433,0.977154,111.083679,17
0.211099,0.006437,0.977444,111.083679,26
0.339955,0.006092,0.940422,116.624245,16
0.304007,0.006204,0.95265,115.040779,15
0.325751,0.006037,0.945436,118.210052,6
0.331908,0.006024,0.943292,118.513657,14
0.353465,0.005981,0.935429,119.15667,22
0.338862,0.00604,0.940817,117.936508,5
0.330728,0.006058,0.943707,117.775017,7
0.263174,0.006092,0.964729,116.953995,15
0.232017,0.006118,0.972692,115.265564,26
0.338154,0.005987,0.941072,118.224724,21
0.19025,-0.005465,0.98172,115.894478,25
0.343992,0.00598,0.938954,117.477165,7
0.279349,0.00619,0.96017,115.48848,7
0.247427,0.006239,0.968886,114.01667,16
-0.366197,-0.005606,0.930521,118.731926,15
-0.229314,0.006261,0.973332,113.952652,22
-0.412182,0.005855,0.911083,121.584061,23
-0.325588,0.006032,0.945493,118.222717,28
0.244364,0.005721,0.969667,6.24638,12
0.250423,0.005866,0.968119,6.24638,11
-0.271136,0.005626,0.962525,6.246379,9
-0.282598,0.005682,0.959221,6.246379,11
-0.290897,0.005752,0.956737,6.246379,19
-0.306857,-0.002629,0.951752,6.246377,21
0.30573,0.005799,0.952101,6.246412,20
0.350581,0.005729,0.936515,6.246445,7
0.188958,0.005752,0.981968,6.246541,4
0.185652,0.005964,0.982598,6.24638,5
0.292266,0.005803,0.956319,6.24638,16
0.365531,0.005753,0.930781,6.2466,12
-0.221045,0.005966,0.975245,6.246477,19
0.202536,0.005744,0.979258,6.246456,18
0.211798,0.005803,0.977296,6.246456,22
-0.351318,0.005686,0.936239,6.24657,20
-0.304344,-0.00529,0.952547,6.246466,5
-0.30753,0.005659,0.951521,6.246466,18
-0.623155,0.017442,0.781904,6.246466,19
0.639702,0.01036,0.768553,6.246378,15
0.636194,0.010415,0.771459,6.246378,20
0.344923,-0.002343,0.938628,6.246377,7
0.335334,-0.001049,0.942099,6.246377,4
0.375891,0.003552,0.926657,6.246377,20
0.386228,0.003592,0.922396,6.246377,13
0.191782,0.008263,0.981403,6.246377,5
0.194539,0.008291,0.98086,6.246377,4
0.196293,0.008327,0.98051,6.246377,14
0.197966,0.008162,0.980175,6.246377,15
0.198106,0.00817,0.980147,6.246377,16
0.19874,0.008202,0.980018,6.246377,12
0.196051,0.00811,0.98056,6.246377,10
0.202129,0.008263,0.979324,6.246377,7
0.213786,0.008241,0.976846,6.246377,14
0.278731,0.007746,0.960338,6.246377,12
0.284345,0.007249,0.958695,6.246377,11
0.262699,0.007813,0.964846,6.246377,19
0.235305,0.007855,0.97189,6.246378,20
0.241933,0.007928,0.970261,6.246378,21
0.245537,0.007819,0.969356,6.246378,18
0.250267,0.007847,0.968145,6.246378,13
0.255914,0.007942,0.966667,6.246378,12
0.266352,0.003091,0.963871,6.246378,12
0.303993,-0.004289,0.952665,6.246378,8
0.266663,0.007842,0.963758,6.246378,4
0.277058,0.007828,0.960821,6.246378,11
0.277208,0.005711,0.960793,6.246376,13
0.290154,0.00213,0.956978,6.246376,13
0.316019,-0.002564,0.948749,6.246376,19
0.183239,0.008344,0.983033,6.246377,10
0.199552,0.008681,0.979849,6.246377,10
0.251387,0.008139,0.967852,6.246377,21
0.268411,0.002621,0.963301,6.246377,15
0.249457,0.008174,0.968351,6.246377,11
0.246406,0.008213,0.969132,6.246378,22
0.275251,0.008376,0.961336,6.246378,20
0.291816,0.008069,0.95644,6.246378,5
0.290436,0.008168,0.956859,6.246378,21
0.281297,0.008201,0.959586,6.246378,21
0.268869,0.008548,0.963139,6.246378,4
0.26715,0.008585,0.963617,6.246378,17
0.261345,0.008458,0.965208,6.246378,4
0.260383,0.008531,0.965468,6.246378,9
0.256534,0.008339,0.966499,6.246378,5
0.256004,0.008411,0.966639,6.246378,9
0.250281,0.008286,0.968138,6.246378,3
0.250056,0.008392,0.968195,6.246378,14
0.289152,0.008119,0.957249,6.246378,6
0.306049,0.004074,0.952007,6.246378,14
0.172665,0.005844,0.984963,6.246377,5
0.24686,0.00597,0.969033,6.246377,16
0.290409,0.005901,0.956884,6.246498,6
-0.195484,0.005918,0.980689,6.246383,20
-0.248242,0.005929,0.96868,6.246381,14
-0.206621,0.005979,0.978403,6.246381,7
-0.202522,0.005744,0.979261,6.246381,17
-0.237338,0.00574,0.97141,6.246381,3
-0.203211,0.005965,0.979117,6.246397,16
-0.269829,0.005666,0.962892,6.246396,12
-0.167175,0.005796,0.98591,6.246396,19
-0.163156,0.005781,0.986583,6.246394,14
-0.153881,0.005843,0.988072,6.246394,4
-0.149541,0.005856,0.988738,6.246393,12
-0.167899,0.005799,0.985787,6.246392,9
-0.200736,0.00581,0.979628,6.246394,11
-0.236829,0.005727,0.971535,6.246394,5
0.195889,0.003629,0.980619,6.246585,3
0.190751,0.0061,0.981619,6.246585,7
0.205303,0.006033,0.97868,6.246585,18
-0.263393,0.005877,0.964671,6.246401,13
0.309482,0.005616,0.950889,6.246442,3
0.309509,0.005664,0.95088,6.246442,21
-0.340473,0.005531,0.940238,6.246561,3
0.229907,0.005857,0.973195,6.246566,5
0.222928,-0.004105,0.974826,6.246566,4
0.206139,-0.010733,0.978464,6.246566,4
-0.191145,0.005826,0.981544,6.246399,9
-0.367929,0.005756,0.929836,6.246677,8
0.042386,0.282255,0.958403,0.302685,3
-0.270997,0.005788,0.962563,6.246377,6
0.323991,0.007733,0.946029,6.247157,10
