@relation pasar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data

0.795591,0.016624,-0.605605,43.183544,5
0.795591,0.016624,-0.605605,43.169537,24
0.795591,0.016624,-0.605605,43.09663,23
-0.811718,0.016494,-0.583817,43.057888,11
-0.811718,0.016494,-0.583817,43.057728,5
-0.811688,0.016584,-0.583856,43.024879,9
-0.811688,0.016584,-0.583856,43.024872,10
-0.811688,0.016645,-0.583855,42.987404,19
-0.811688,0.016645,-0.583855,42.987328,21
0.795591,0.016624,-0.605605,43.176414,24
0.795591,0.016624,-0.605605,43.164158,12
0.795591,0.016624,-0.605605,43.096737,20
-0.808153,0.016514,-0.588741,43.067722,7
-0.808153,0.016514,-0.588741,43.06757,29
-0.803638,0.016866,-0.594879,42.909882,9
-0.803638,0.016866,-0.594879,42.908661,13
-0.803638,0.016866,-0.594879,42.903816,23
-0.803642,0.016542,-0.594883,42.903763,18
0.951375,0.014878,-0.307675,45.867744,15
0.951269,0.014882,-0.308004,45.876743,9
0.951208,0.014884,-0.30819,45.92001,6
0.950918,0.014894,-0.309083,45.929905,22
0.950851,0.014908,-0.309291,45.929672,7
0.95085,0.01493,-0.309292,45.929497,20
0.950849,0.014963,-0.309293,45.910408,20
0.950921,0.014993,-0.309071,45.564983,10
0.951468,0.015513,-0.307357,45.473919,22
0.951573,0.015599,-0.307025,45.420055,21
0.951574,0.015635,-0.307022,45.355633,25
0.951525,0.018667,-0.307004,36.307526,28
0.951525,0.018667,-0.307004,36.312798,12
0.951525,0.018667,-0.307004,36.327045,28
0.951518,0.019058,-0.307002,36.327026,29
0.951517,0.019119,-0.307002,36.327011,9
0.951516,0.019168,-0.307001,36.327007,14
0.951515,0.019215,-0.307001,36.321976,27
0.951404,0.019273,-0.307341,36.316021,26
0.951325,0.019333,-0.307584,36.311287,9
0.95131,0.020035,-0.307585,35.97147,22
0.95131,0.020035,-0.307585,35.971584,6
0.95131,0.020035,-0.307585,35.972088,22
0.951306,0.020245,-0.307584,35.803398,14
0.951306,0.020245,-0.307584,35.806515,24
0.952681,0.021448,-0.303215,34.322212,28
0.952681,0.021448,-0.303215,34.323425,10
0.953167,0.009328,-0.3023,33.797539,9
0.953167,0.009337,-0.3023,33.797615,28
-0.267059,0.018255,-0.963507,5.498326,10
-0.264245,0.018329,-0.964281,5.510043,27
-0.248992,0.018197,-0.968335,5.574384,21
-0.231527,0.018238,-0.972658,5.651797,11
-0.212111,0.018343,-0.977073,5.726613,24
-0.192609,0.018502,-0.981101,5.804878,15
-0.174283,0.018831,-0.984515,5.878297,22
0.328351,0.024481,-0.944238,8.346805,15
0.329248,0.024497,-0.943925,8.35217,19
0.335353,0.0243,-0.941779,8.394466,27
0.616927,-0.020467,-0.786754,9.724033,26
0.617232,-0.020367,-0.786517,9.722145,20
0.619122,-0.020072,-0.785038,9.710484,12
0.621446,-0.019709,-0.783209,9.714069,14
0.693659,-0.036043,-0.719401,8.908772,7
0.694439,-0.035185,-0.718691,8.888304,10
0.695939,-0.036715,-0.717162,8.865091,23
0.956738,-0.075746,-0.280917,20.124672,19
0.956749,-0.075606,-0.28092,20.124744,13
0.956315,-0.081346,-0.280792,20.3113,28
0.956317,-0.081317,-0.280793,20.311924,16
0.956318,-0.081302,-0.280793,20.315737,28
0.956326,-0.081213,-0.280795,20.31307,24
0.955423,-0.092033,-0.28053,18.998522,29
0.955424,-0.092018,-0.280531,18.998516,7
0.795591,0.016624,-0.605605,43.176323,18
0.795591,0.016624,-0.605605,43.165215,12
0.795591,0.016624,-0.605605,43.100891,21
0.793579,0.016981,-0.60823,43.103687,17
-0.824627,0.016312,-0.565441,43.135849,25
-0.824627,0.016312,-0.565441,43.137203,12
-0.824627,0.016312,-0.565441,43.139202,16
