@relation parar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Tiempo numeric
@attribute TipoDePase {alto,bajo}
@attribute Fuerza numeric

@data
-0.999993,-0.003749,0.000034,5.443876,1.179923,bajo,0
-0.999986,-0.005275,0,3.79132,1.789676,bajo,0
-0.992977,0.118303,0,4.392812,0.93551,alto,0
0.999885,-0.015164,0,1.32987,0.829189,bajo,0
0.999998,-0.001787,0,11.194916,0.860306,bajo,0
-0.999831,-0.01839,0,1.087553,1.098175,alto,0
0.999998,-0.001886,0,10.606241,1.005236,bajo,0
-0.999986,-0.00522,0,3.831284,1.197774,bajo,0
0.999998,-0.001948,0,10.269159,0.26476,bajo,0
0.999998,-0.002109,0,9.563714,1.000525,bajo,0
0.999992,-0.004055,0.000068,3.143993,1.018782,bajo,0
0.997517,-0.070432,-0.000191,0.200222,1.669514,bajo,0
0.999998,-0.002007,-0.000017,4.024171,0.234784,bajo,0
0.999964,-0.008529,-0.000023,1.635745,1.290827,alto,0
0.999979,-0.006428,0,3.111073,1.226176,alto,0
-0.999996,-0.002822,0,7.087743,0.647673,bajo,0
0.999371,-0.035469,0.000121,0.376812,1.272629,bajo,0
-0.967691,0.252138,0.00005,1.368551,0.850347,alto,0
-0.999871,-0.016058,0.000015,0.494246,1.651732,bajo,0
-0.999861,-0.016677,0.000018,0.412737,0.205194,bajo,0
0.938832,0.344376,0.000004,3.427364,0.188535,alto,0
-0.92627,-0.37686,0.000064,0.355153,0.294696,bajo,0
-0.999998,-0.00209,0,9.570535,1.461179,alto,0
0.999999,-0.001335,0.000019,1.971057,0.580854,bajo,0
1,-0.000698,0.000016,3.419462,1.36939,bajo,0
-0.972823,0.231551,0,3.282582,0.704561,alto,0
0.99998,-0.006332,0,3.158381,1.508865,alto,0
0.999997,-0.002372,0,7.18367,1.263879,bajo,0
0.999996,-0.002743,0.000005,5.982815,1.296499,bajo,0
-0.999542,-0.030252,0.000038,0.598919,1.221044,alto,0
0.999999,-0.001333,-0.00002,2.281517,0.523653,bajo,0
-0.999982,-0.006025,0,3.319263,1.17059,bajo,0
-0.999998,-0.001964,-0.000002,8.5666,0.618014,bajo,0
0.999795,-0.020242,0,3.907697,0.375423,alto,0
-0.991325,0.131429,0,0.815019,0.322119,alto,0
0.999658,0.026158,0,5.103398,0.314844,alto,0
-0.599213,-0.80059,0,0.637075,0.481576,alto,0
-0.780899,-0.624657,0,1.038802,0.52011,alto,0
0.963529,-0.267606,0,5.470644,0.44864,bajo,0
-0.091611,-0.995795,0,1.450482,0.296528,bajo,0
0.971025,-0.238978,0,5.829818,0.319928,bajo,0
-0.761404,-0.648278,0,2.068996,0.49981,bajo,0
0.996075,0.088515,0,9.896194,0.729719,alto,0
-0.960033,0.279885,0,2.952521,0.794383,alto,0
0.999986,-0.005286,0.000006,1.302104,1.128676,bajo,0
